Player_ID,Player,Full_Name,Born,Current_Age,Bats,Bowls,Matches,Died
3877,Gulbadin Naib,Gulbadin Naib,"16th March, 1991",34 years 76 days,Right Handed,Right Arm Medium Fast,2 (2024-),
3633,M J Guptill,Martin James Guptill,"30th September, 1986",38 years 243 days,Right Handed,Right Arm Off Break,13 (2016-2019),
4212,Gurkeerat Singh,Gurkeerat Rupinder Singh,"29th June, 1990",34 years 336 days,Right Handed,Right Arm Off Break,41 (2012-2020),
4307,H F Gurney,Harry F Gurney,"25th October, 1986",38 years 218 days,Right Handed,Left Arm Fast Medium,8 (2019-2019),
7239,Gurnoor Brar,Gurnoor Brar,"25th May, 2000",25 years 6 days,Left Handed,Right Arm Fast,1 (2023-2023),
2707,B J Haddin,Bradley James Haddin,"23rd October, 1977",47 years 220 days,Right Handed,,1 (2011-2011),
3887,A D Hales,Alexander Daniel Hales,"3rd January, 1989",36 years 148 days,Right Handed,Right Arm Medium,6 (2018-2018),
4558,P S P Handscomb,Peter Stephen Patrick Handscomb,"26th April, 1991",34 years 35 days,Right Handed,,2 (2016-2016),
6506,R Hangargekar,Rajvardhan Hangargekar,"10th November, 2002",22 years 202 days,Left Handed,Right Arm Medium,2 (2023-2023),
2138,Harbhajan Singh,Harbhajan Singh,"3rd July, 1980",44 years 332 days,Right Handed,Right Arm Off Break,163 (2008-2021),
4045,Harmeet Singh,Harmeet Singh,"9th October, 1987",37 years 234 days,Right Handed,Right Arm Medium,27 (2009-2013),
4095,Harmeet Singh,Harmeet Singh,"7th September, 1992",32 years 266 days,Left Handed,Left Arm Orthodox,1 (2013-2013),
4935,Harpreet Brar,Harpreet Brar,"16th September, 1995",29 years 257 days,Left Handed,Left Arm Orthodox,49 (2019-),
